Unlimited_Data,Streaming_TV,Streaming_Music,Streaming_Movies,Premium_Tech_Support,Number_of_Referrals,Tenure_in_Months,Total_Charges,Monthly_Charge,Total_Long_Distance_Charges,Customer_Status
0,1,0,0,1,10,72,7556.9,103.95,3187.44,0
1,0,0,0,0,1,68,5696.6,85.5,2017.56,0
1,0,0,0,0,0,33,2171.15,68.25,951.72,1
1,0,0,0,0,5,15,294.95,18.8,214.05,0
1,1,1,1,1,0,68,5882.75,86.5,782.0,0
1,0,1,1,1,0,69,6398.05,93.3,1968.57,0
1,0,0,0,0,1,23,538.5,24.35,1104.46,0
0,0,0,0,1,8,63,5377.8,84.65,816.48,0
1,1,1,1,1,3,70,8250.0,115.15,795.2,0
1,1,0,0,0,9,72,6954.15,95.9,853.2,0
1,0,0,0,0,0,1,20.25,20.25,28.18,0
1,0,1,0,0,0,1,69.6,69.6,14.19,1
1,1,0,0,0,3,42,3930.6,95.55,961.38,0
1,0,0,0,0,3,23,486.2,19.3,831.22,0
1,0,0,0,1,0,70,3058.15,44.6,0.0,0
1,0,0,0,0,1,3,229.5,74.75,105.54,1
1,0,0,0,0,0,59,1510.5,25.0,1527.51,0
1,1,1,1,0,0,72,6929.4,98.35,3211.92,0
1,0,0,0,0,10,67,5588.8,83.85,3008.3,0
1,0,0,0,0,0,52,1334.5,25.6,1202.24,0
1,0,1,1,1,10,42,2763.35,63.7,1887.9,0
1,0,0,0,0,0,51,1288.0,24.95,2261.85,0
1,0,0,0,0,0,1,20.2,20.2,42.15,0
1,0,0,0,0,0,47,943.0,20.45,310.67,0
1,1,0,0,0,0,19,733.35,39.65,0.0,1
1,0,0,0,0,1,69,1718.2,24.45,2283.21,0
0,0,0,0,0,0,39,1886.4,47.85,987.87,0
1,1,1,1,1,3,24,1923.85,81.0,1096.32,0
1,0,0,0,0,0,18,369.6,20.35,675.54,0
1,0,0,0,0,7,72,1776.45,24.15,2734.56,0
0,0,1,1,1,0,35,3161.2,89.85,869.05,0
1,0,0,0,1,0,19,953.65,48.8,76.57,0
1,1,0,0,0,0,18,1537.9,84.3,40.68,0
1,0,1,0,1,0,4,332.45,80.8,169.32,1
0,0,0,0,0,0,13,559.2,44.8,80.34,0
1,0,0,0,0,0,1,69.1,69.1,16.19,1
1,0,0,0,0,1,72,1363.25,19.4,3564.0,0
1,1,0,1,1,1,60,6925.9,116.05,243.6,0
1,1,1,1,0,0,57,3094.05,55.0,0.0,0
1,0,0,0,0,4,24,483.15,19.75,657.12,0
1,0,1,1,1,6,64,5129.3,81.3,1063.04,0
1,1,0,0,1,4,30,1985.15,64.5,1102.2,0
1,0,0,0,0,0,6,208.7,30.5,0.0,1
1,1,1,1,0,0,1,89.1,89.1,16.06,1
0,1,1,1,1,1,72,7679.65,108.3,2991.6,0
